Timestamp,Score,Which age group you belong to?,Which one of the following best describes you?,Which one of the following best describes you?,How good were you in school?,On a scale of 1-10 how do you feel about school days?,The side opposite to the right angle in a right angled triangle is?,What is Density of water?,In a neutral atom the number of protons is numerically equal to?,Which is the smallest country by area in the world?,What are the egg laying mammals left on Earth?,What is the deepest point on Earth?,Rabi crops are sown in the month of?,Which planet spins opposite to Earth?,In which sex is more likely to suffer from color blindness?,Optical fiber works on the principle of?,(e^(i*pi)) =
9/19/2020 16:05:45,11 / 11,20-30,Male,Introvert,Above Average,5,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,"Echidna, Platypus",Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/19/2020 16:38:15,3 / 11,20-30,Female,Ambivert,Average,9,Adjacent,997 kg/m³,None/ Can't be determined.,Vatican City,Platypus,Puerto Rico Trench,April,Venus,Female,Oscillation,Infinity
9/19/2020 16:45:57,10 / 11,20-30,Female,Extrovert,Average,4,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Platypus,Challenger Deep,November,Venus,Male,Total Internal Reflection,-1
9/19/2020 16:47:46,3 / 11,20-30,Female,Ambivert,Above Average,8,Hypotenuse,1000 kg/m³,Number of Neutrons + Number of Electrons,Vatican City,Obdurodon,Peru–Chile Trench,April,Mercury,Male,Radiation,Infinity
9/19/2020 16:52:52,9 / 11,20-30,Male,Introvert,Above Average,7,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Platypus,Challenger Deep,November,Venus,Male,Total Internal Reflection,0
9/19/2020 16:57:57,8 / 11,20-30,Male,Ambivert,Average,9,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Platypus,Challenger Deep,November,Venus,Female,Total Internal Reflection,Infinity
9/19/2020 16:59:49,8 / 11,20-30,Male,Introvert,Average,8,Hypotenuse,1027 kg/m³,Number of Electrons,Vatican City,Platypus,Challenger Deep,November,Venus,Male,Total Internal Reflection,Infinity
9/19/2020 17:06:03,7 / 11,20-30,Male,Ambivert,Average,8,Hypotenuse,1000 kg/m³,Number of Electrons,Vatican City,Platypus,Challenger Deep,April,Venus,Male,Total Internal Reflection,Infinity
9/19/2020 17:15:47,7 / 11,20-30,Female,Ambivert,Average,10,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Platypus,Peru–Chile Trench,November,Venus,Female,Total Internal Reflection,1
9/19/2020 18:23:13,7 / 11,20-30,Female,Ambivert,Above Average,8,Hypotenuse,997 kg/m³,Number of Electrons,Vatican City,Echidna,Puerto Rico Trench,November,Venus,Female,Total Internal Reflection,Infinity
